,cut,color,clarity,depth,carat,table,x,y,z,price
34066,Ideal,E,VVS2,60.4,0.31,61.0,4.37,4.44,2.66,710
34067,Premium,G,VVS2,60.6,0.7,60.0,5.77,5.69,3.47,2999
34068,Premium,J,VS2,61.6,0.3,61.0,4.33,4.28,2.65,473
34069,Ideal,G,VS2,61.9,1.04,54.0,6.53,6.56,4.05,6809
34070,Premium,I,VVS1,61.6,0.37,59.0,4.62,4.66,2.86,681
34071,Fair,G,SI2,65.3,0.9,59.0,6.07,6.0,3.94,2834
34072,Ideal,E,VS2,62.6,0.34,57.0,4.45,4.47,2.79,745
34073,Premium,D,SI2,63.0,1.51,62.0,7.28,7.23,4.57,9894
34074,Fair,G,SI1,68.3,1.0,61.0,6.02,5.93,4.08,3965
34075,Ideal,F,IF,61.3,0.31,57.0,4.34,4.37,2.67,914
34076,Ideal,I,SI2,62.0,2.32,57.0,8.45,8.49,5.25,17516
34077,Very Good,G,SI1,63.1,0.82,52.0,6.02,5.97,3.78,2716
34078,Very Good,G,SI1,62.5,0.7,60.0,5.64,5.68,3.54,2042
34079,Ideal,H,SI2,61.0,0.52,55.0,5.19,5.23,3.18,1054
34080,Premium,I,VS1,60.4,1.16,59.0,6.89,6.82,4.14,5457
34081,Ideal,E,VVS1,61.3,0.41,55.0,4.76,4.8,2.93,1367
34082,Premium,D,SI2,59.7,0.71,60.0,5.84,5.79,3.47,2235
34083,Very Good,D,SI2,62.5,1.78,57.0,7.76,7.8,4.86,12981
34084,Ideal,H,VVS1,61.6,0.43,55.0,4.85,4.89,3.0,1017
34085,Ideal,G,VS1,61.5,1.35,56.0,7.15,7.12,4.39,10378
34086,Ideal,F,VS2,60.9,1.01,57.0,6.48,6.45,3.94,6787
34087,Premium,D,SI1,62.3,0.51,61.0,5.11,5.07,3.17,1574
34088,Ideal,G,SI1,62.4,1.0,56.0,6.41,6.34,3.98,4956
34089,Ideal,G,SI2,62.3,2.06,56.0,8.16,8.09,5.06,18293
34090,Premium,G,VVS2,62.2,1.02,60.0,6.43,6.39,3.99,7741
34091,Premium,E,SI2,63.0,0.9,57.0,6.08,6.05,3.82,3084
34092,Premium,E,IF,61.6,0.32,58.0,4.39,4.38,2.7,1170
34093,Very Good,E,SI2,60.6,1.0,60.0,6.33,6.4,3.86,4576
34094,Ideal,E,VS2,62.0,0.3,55.0,4.35,4.3,2.68,844
34095,Ideal,G,VVS2,62.1,1.04,55.1,6.5,6.51,4.04,8012
34096,Good,J,SI2,60.9,1.5,62.0,7.3,7.32,4.45,6746
34097,Premium,H,VS2,60.7,1.0,60.0,6.55,6.49,3.96,4930
34098,Premium,E,VS2,59.3,0.6,60.0,5.51,5.46,3.25,2124
34099,Ideal,H,IF,62.0,0.3,55.0,4.33,4.35,2.69,764
34100,Very Good,G,VS2,63.1,1.01,57.0,6.39,6.35,4.02,5939
34101,Ideal,F,SI1,62.6,0.41,54.0,4.74,4.78,2.98,711
34102,Very Good,I,VS1,62.4,1.2,56.0,6.78,6.74,4.22,6167
34103,Premium,G,SI2,60.3,0.31,59.0,4.35,4.37,2.63,408
34104,Very Good,G,VS1,60.0,0.45,57.1,4.99,5.03,3.0,1154
34105,Very Good,J,SI1,61.7,1.65,56.0,7.61,7.66,4.71,7903
34106,Premium,D,VS2,60.4,0.3,59.0,4.35,4.33,2.62,911
34107,Very Good,E,VS2,62.9,0.36,56.0,4.52,4.54,2.85,631
34108,Fair,F,SI2,65.3,1.01,59.0,6.28,6.24,4.09,4317
34109,Very Good,G,VS2,62.5,0.9,58.0,6.1,6.15,3.83,4369
34110,Very Good,E,SI2,60.8,0.5,61.0,5.08,5.09,3.09,1046
34111,Ideal,F,VVS2,60.3,0.23,57.0,3.99,4.03,2.42,530
34112,Ideal,I,VS1,61.3,1.15,56.0,6.74,6.76,4.14,5930
34113,Premium,H,SI1,61.0,0.54,58.0,5.23,5.27,3.2,1154
34114,Premium,J,VVS2,63.0,2.0,59.0,8.0,7.97,5.03,15214
34115,Premium,I,VS2,59.0,1.52,59.0,7.53,7.46,4.42,9057
34116,Ideal,E,SI1,61.5,0.81,56.0,6.01,6.03,3.7,3373
34117,Ideal,F,VS1,62.6,0.3,57.0,4.29,4.34,2.7,570
34118,Premium,F,VS2,62.7,0.37,58.0,4.55,4.58,2.86,746
34119,Ideal,E,VS1,62.1,0.71,53.0,5.76,5.73,3.57,2963
34120,Ideal,H,VS2,60.5,0.34,56.0,4.58,4.54,2.76,689
34121,Very Good,F,VS2,58.9,0.7,57.0,5.79,5.85,3.43,2400
34122,Very Good,F,VS2,63.5,1.01,58.0,6.35,6.32,4.02,5650
34123,Ideal,E,VS1,61.0,0.34,57.0,4.52,4.49,2.75,1033
34124,Very Good,H,SI1,61.0,1.5,55.0,7.35,7.44,4.51,9987
34125,Ideal,F,VVS1,62.0,0.38,54.7,4.62,4.67,2.88,1101
34126,Ideal,J,VS1,62.1,0.33,55.0,4.44,4.41,2.75,557
34127,Ideal,F,VVS2,62.1,0.32,54.0,4.42,4.44,2.75,739
34128,Premium,F,VS2,62.4,1.0,60.0,6.35,6.38,3.97,6352
34129,Ideal,F,VVS1,61.1,0.73,56.0,5.83,5.86,3.57,4171
34130,Very Good,E,VVS1,63.4,0.26,59.0,4.0,4.04,2.55,554
34131,Very Good,G,VVS2,61.2,0.34,59.0,4.46,4.5,2.74,775
34132,Ideal,E,SI1,62.4,0.31,57.0,4.31,4.34,2.7,544
34133,Good,J,VS2,63.2,0.5,60.0,5.01,5.06,3.18,965
34134,Ideal,J,VS1,61.8,1.51,59.0,7.36,7.39,4.56,8678
34135,Very Good,D,VS1,63.2,0.33,56.0,4.45,4.44,2.81,1109
34136,Premium,E,I1,60.9,0.32,58.0,4.42,4.38,2.68,444
34137,Ideal,E,SI2,61.5,0.91,56.0,6.23,6.2,3.82,3898
34138,Premium,G,SI1,59.6,0.62,58.0,5.63,5.56,3.34,1382
34139,Ideal,F,VS1,62.2,1.24,55.0,6.89,6.87,4.28,9333
34140,Good,F,SI1,63.1,0.5,61.0,5.06,4.98,3.17,1043
34141,Good,H,SI1,63.3,0.34,56.0,4.45,4.46,2.82,490
34142,Very Good,E,SI1,62.5,0.42,55.0,4.8,4.83,3.01,773
34143,Good,H,VS2,63.4,0.41,58.0,4.77,4.66,2.99,755
34144,Premium,H,SI1,58.5,2.01,58.0,8.3,8.25,4.84,16956
34145,Very Good,E,VS2,61.6,0.8,57.0,5.95,5.97,3.67,4263
34146,Good,H,VS1,63.2,0.54,58.0,5.12,5.16,3.25,1361
34147,Very Good,D,VS1,61.9,0.23,58.0,3.92,3.96,2.44,402
34148,Premium,H,SI1,61.0,0.31,61.0,4.39,4.33,2.66,558
34149,Ideal,E,VS2,61.8,0.23,54.0,3.94,3.96,2.44,548
34150,Very Good,G,SI1,60.2,0.91,58.0,6.29,6.31,3.79,4429
34151,Very Good,H,SI1,62.4,0.7,59.0,5.63,5.75,3.55,2066
34152,Very Good,G,SI2,62.7,0.81,56.0,5.91,5.96,3.72,2649
34153,Ideal,F,VVS1,61.9,0.33,56.0,4.47,4.42,2.75,1021
34154,Good,G,SI1,63.7,0.51,55.0,5.1,5.07,3.24,1259
34155,Very Good,G,SI1,63.1,1.0,56.0,6.41,6.31,4.01,4295
34156,Fair,D,SI1,65.7,0.5,56.0,5.01,4.97,3.28,1323
34157,Good,E,VS1,60.3,0.32,64.0,4.42,4.44,2.67,756
34158,Ideal,E,VS2,61.7,0.38,54.3,4.68,4.69,2.89,853
34159,Ideal,F,VVS2,62.3,0.54,53.7,5.22,5.26,3.26,2334
34160,Fair,I,SI2,64.8,1.5,58.0,7.05,7.15,4.6,6717
34161,Very Good,H,SI2,61.9,1.15,57.0,6.68,6.72,4.15,4654
34162,Premium,G,SI1,61.7,0.54,59.0,5.2,5.17,3.2,1389
34163,Ideal,I,SI1,61.3,1.18,55.6,6.79,6.84,4.18,5412
34164,Ideal,E,VVS2,61.4,0.31,58.0,4.33,4.37,2.67,755
34165,Very Good,D,SI2,62.4,0.35,57.0,4.47,4.5,2.8,487
34166,Very Good,G,VVS1,59.6,0.5,63.0,5.11,5.16,3.06,1887
34167,Ideal,G,SI1,62.1,0.71,54.0,5.72,5.75,3.56,2513
34168,Ideal,H,VS2,63.0,1.2,56.0,6.74,6.65,4.22,5833
34169,Ideal,I,VS2,62.4,1.52,55.0,7.35,7.4,4.6,9352
34170,Ideal,F,VVS2,61.9,1.17,54.0,6.76,6.82,4.2,10351
34171,Ideal,D,VS2,62.3,0.35,55.0,4.52,4.54,2.82,829
34172,Ideal,D,VS1,61.1,0.3,57.0,4.34,4.37,2.66,885
34173,Very Good,H,SI1,63.3,1.2,57.0,6.75,6.7,4.26,5114
34174,Premium,I,SI2,61.9,2.24,58.0,8.36,8.29,5.15,15515
34175,Premium,J,VVS2,62.5,1.51,59.0,7.29,7.34,4.57,8770
34176,Fair,H,SI2,66.1,1.0,56.0,6.21,5.97,4.04,2856
34177,Ideal,H,IF,60.9,0.4,58.0,4.75,4.78,2.9,1074
34178,Premium,F,VVS1,60.8,1.02,58.0,6.56,6.46,3.96,9980
34179,Ideal,F,SI2,60.9,1.03,56.0,6.56,6.51,3.98,4891
34180,Ideal,D,VS1,61.8,0.42,57.0,4.82,4.79,2.97,1388
34181,Ideal,E,SI2,61.3,0.32,56.0,4.42,4.45,2.72,456
34182,Premium,D,VVS2,62.5,0.41,58.0,4.72,4.75,2.96,1295
34183,Very Good,I,VS2,62.7,2.01,58.0,7.94,7.98,4.99,16626
34184,Premium,F,SI1,61.0,0.41,60.0,4.81,4.77,2.92,969
34185,Premium,G,SI2,62.6,1.28,58.0,6.94,6.89,4.33,6236
34186,Ideal,I,VS2,61.9,1.67,57.0,7.56,7.59,4.69,12406
34187,Good,F,VS1,63.2,0.56,61.0,5.2,5.28,3.3,1712
34188,Fair,I,I1,66.3,0.7,63.0,5.58,5.43,3.66,1014
34189,Premium,G,VS2,61.4,0.33,60.0,4.41,4.45,2.72,579
34190,Premium,H,I1,60.0,0.7,59.0,5.8,5.77,3.47,1621
34191,Ideal,I,VS2,62.1,0.53,54.0,5.2,5.24,3.24,1046
34192,Good,E,VS2,63.2,0.76,56.0,5.82,5.86,3.69,3249
34193,Premium,E,SI1,60.9,1.27,59.0,7.03,6.97,4.26,7980
34194,Fair,E,SI1,66.5,1.0,55.0,6.21,6.19,4.12,3696
34195,Very Good,D,SI1,63.6,0.71,58.0,5.64,5.68,3.6,2764
34196,Premium,H,VS2,59.0,1.05,59.0,6.71,6.68,3.95,5468
34197,Fair,J,VS1,60.1,1.5,61.0,7.25,7.3,4.37,7819
34198,Premium,E,VS2,62.2,0.57,59.0,5.29,5.26,3.28,2274
34199,Premium,I,SI2,62.2,1.02,58.0,6.41,6.36,3.97,4061
34200,Ideal,F,VS2,61.9,0.3,55.0,4.31,4.32,2.67,605
34201,Good,E,SI2,63.1,2.01,58.0,7.89,8.01,5.02,15255
34202,Very Good,E,SI2,58.7,0.9,63.0,6.23,6.2,3.65,2930
34203,Premium,D,VS2,61.0,0.36,59.0,4.61,4.57,2.8,1094
34204,Very Good,G,SI1,60.0,0.5,63.0,5.06,5.1,3.05,1197
34205,Very Good,I,SI2,63.0,2.48,62.0,8.58,8.62,5.42,17448
34206,Ideal,F,VVS1,62.4,0.31,55.0,4.32,4.34,2.7,921
34207,Premium,H,VS1,61.5,1.3,58.0,6.96,6.98,4.29,7714
34208,Ideal,J,VS1,61.6,0.33,54.0,4.5,4.52,2.78,451
34209,Good,I,VS1,57.9,2.02,63.0,8.13,8.21,4.73,17533
34210,Ideal,G,VVS1,60.8,1.6,56.0,7.58,7.54,4.6,16339
34211,Premium,F,SI2,62.3,0.33,58.0,4.43,4.4,2.75,557
34212,Ideal,I,VVS2,62.7,0.33,54.0,4.45,4.42,2.78,743
34213,Very Good,F,SI2,62.7,0.51,56.0,5.06,5.08,3.18,1070
34214,Premium,F,SI2,62.1,2.02,56.0,8.07,7.99,4.99,18678
34215,Premium,H,VS2,61.1,1.11,59.0,6.66,6.63,4.06,6527
34216,Good,D,VS2,63.1,0.51,58.0,5.08,5.13,3.22,1668
34217,Premium,G,VS2,61.2,0.77,58.0,5.9,5.93,3.62,2780
34218,Ideal,D,VVS2,60.5,0.37,57.0,4.65,4.68,2.82,983
34219,Very Good,G,SI1,61.3,0.9,60.0,6.14,6.17,3.77,3841
34220,Ideal,G,VS2,59.4,1.04,58.0,6.63,6.67,3.95,6286
34221,Ideal,F,VVS2,61.2,1.1,56.0,6.68,6.65,4.08,9817
34222,Premium,H,IF,60.4,0.3,60.0,4.34,4.3,2.61,1013
34223,Premium,G,VVS1,58.2,1.25,61.0,7.1,7.05,4.12,8281
34224,Premium,G,SI1,60.6,0.49,60.0,5.1,5.06,3.08,1026
34225,Ideal,E,VVS2,62.9,1.11,55.0,6.56,6.62,4.14,11074
34226,Ideal,H,SI1,61.6,1.24,57.0,6.92,6.84,4.24,6958
34227,Ideal,F,VVS2,61.7,0.73,54.0,5.82,5.76,3.57,3463
34228,Premium,H,SI1,61.0,1.2,58.0,6.92,6.84,4.2,6129
34229,Ideal,G,VS1,62.4,0.33,56.0,4.43,4.45,2.77,666
34230,Ideal,D,VVS1,61.9,0.27,57.0,4.18,4.15,2.58,799
34231,Premium,D,SI1,63.0,1.15,57.0,6.69,6.64,4.2,6942
34232,Good,G,SI1,62.5,0.9,62.0,6.04,6.09,3.79,4008
34233,Ideal,G,VVS1,61.4,0.42,56.0,4.81,4.83,2.96,1179
34234,Very Good,G,SI1,63.4,0.35,56.0,4.5,4.46,2.84,669
34235,Ideal,I,SI1,61.4,0.85,56.0,6.06,6.12,3.74,3392
34236,Very Good,I,SI1,62.4,2.11,53.0,8.17,8.27,5.13,14740
34237,Very Good,G,VS2,62.9,0.4,56.0,4.69,4.72,2.96,807
34238,Premium,G,SI1,62.6,1.04,55.0,6.49,6.42,4.04,4948
34239,Premium,I,IF,62.1,0.33,58.0,4.39,4.43,2.74,694
34240,Ideal,D,SI1,62.3,0.31,55.0,4.33,4.37,2.71,571
34241,Good,F,VS1,59.3,0.77,56.0,5.98,6.03,3.56,3393
34242,Very Good,F,VVS2,63.0,0.4,57.0,4.63,4.7,2.94,963
34243,Good,J,VS2,64.0,0.41,59.0,4.64,4.71,2.99,565
34244,Ideal,G,VS2,60.9,0.53,56.0,5.25,5.21,3.18,1807
34245,Premium,F,SI1,62.5,0.76,59.0,5.79,5.77,3.61,2443
34246,Ideal,I,VVS1,62.5,0.32,55.0,4.4,4.37,2.74,756
34247,Very Good,F,VS2,58.7,0.26,59.0,4.14,4.27,2.47,453
34248,Ideal,F,VS2,60.9,0.36,57.0,4.58,4.61,2.8,726
34249,Ideal,F,VS2,60.0,1.58,57.0,7.52,7.58,4.53,13917
34250,Premium,I,VS1,62.3,0.45,58.0,4.86,4.84,3.02,1035
34251,Very Good,G,SI1,63.8,0.92,57.0,6.13,6.16,3.92,3724
34252,Very Good,H,SI2,62.8,1.52,58.0,7.25,7.3,4.57,8408
34253,Premium,E,VS1,61.3,0.3,59.0,4.33,4.28,2.64,911
34254,Ideal,G,VVS1,61.4,0.4,55.0,4.72,4.76,2.91,1123
34255,Very Good,J,SI1,59.3,2.01,62.0,8.15,8.2,4.85,12257
34256,Good,J,VS2,63.1,0.51,56.0,5.1,5.13,3.23,984
34257,Ideal,E,SI2,61.3,0.32,56.0,4.42,4.45,2.72,427
34258,Ideal,G,VVS1,60.7,0.7,57.0,5.73,5.76,3.49,3303
34259,Premium,D,SI2,61.5,0.31,60.0,4.34,4.31,2.66,593
34260,Ideal,D,SI2,61.9,0.73,57.0,5.76,5.81,3.58,2557
34261,Good,H,SI2,63.1,0.9,60.0,6.09,6.14,3.86,3024
34262,Premium,H,SI1,62.9,0.71,58.0,5.66,5.62,3.55,2364
34263,Ideal,G,VVS1,59.7,0.38,60.0,4.71,4.74,2.82,979
34264,Premium,H,VS2,62.5,1.39,59.0,7.17,7.1,4.46,7006
34265,Very Good,F,SI2,58.8,1.19,60.0,6.93,6.98,4.09,5622
34266,Good,I,VS1,63.1,0.33,56.0,4.38,4.4,2.77,521
34267,Ideal,F,VS1,61.6,0.7,57.0,5.7,5.73,3.52,2998
34268,Fair,D,SI2,64.6,0.9,59.0,6.04,6.01,3.89,3847
34269,Good,D,SI2,61.8,0.52,58.0,5.17,5.21,3.21,1138
34270,Very Good,D,SI1,62.9,0.84,58.0,5.93,6.02,3.76,3816
34271,Very Good,D,SI2,62.5,1.16,60.0,6.64,6.7,4.17,5044
34272,Ideal,E,VVS1,60.2,0.33,57.0,4.5,4.47,2.7,1052
34273,Very Good,E,VS2,62.4,1.51,59.0,7.26,7.36,4.56,14709
34274,Very Good,E,SI2,63.3,1.52,58.0,7.31,7.25,4.61,10214
34275,Good,E,SI1,63.9,0.72,58.0,5.72,5.64,3.63,2305
34276,Ideal,G,VVS1,62.2,0.3,57.0,4.27,4.31,2.67,789
34277,Very Good,I,VS1,62.4,0.7,58.0,5.62,5.67,3.52,1971
34278,Premium,F,SI2,62.6,1.1,57.0,6.6,6.56,4.12,4832
34279,Good,E,VVS2,61.2,0.25,62.0,4.04,4.07,2.48,505
34280,Premium,G,SI2,60.1,2.05,59.0,8.2,8.3,4.96,16357
34281,Premium,F,VS2,62.9,1.0,59.0,6.47,6.4,4.02,6296
34282,Very Good,G,VS2,62.7,1.68,58.0,7.51,7.54,4.72,14192
34283,Premium,H,VS2,62.5,1.31,58.0,6.97,6.94,4.35,7459
34284,Premium,H,SI1,59.0,0.5,59.0,5.22,5.18,3.07,1156
34285,Ideal,F,SI1,61.8,0.53,56.0,5.19,5.23,3.22,1360
34286,Premium,D,SI1,61.4,0.31,58.0,4.39,4.34,2.68,732
34287,Premium,G,VS2,61.0,1.11,59.0,6.7,6.67,4.08,5346
34288,Very Good,I,SI1,60.5,1.23,58.0,6.9,6.94,4.19,5763
34289,Premium,F,I1,62.2,1.17,58.0,6.76,6.72,4.19,3984
34290,Ideal,F,SI1,62.0,1.01,56.0,6.44,6.39,3.98,5486
34291,Ideal,G,VVS2,62.8,0.5,57.0,5.04,4.99,3.15,1935
34292,Very Good,G,VVS1,60.6,0.32,57.0,4.46,4.48,2.71,685
34293,Premium,H,VS2,60.4,0.9,59.0,6.24,6.27,3.78,4321
34294,Very Good,F,VS2,62.1,0.39,59.0,4.69,4.71,2.92,716
34295,Premium,H,SI2,60.7,1.51,59.0,7.42,7.37,4.49,5767
34296,Fair,G,SI1,66.7,0.95,56.0,6.16,6.03,4.06,2841
34297,Ideal,G,VVS1,62.3,0.51,55.0,5.1,5.14,3.19,2005
34298,Very Good,G,VVS2,62.4,0.5,56.0,5.06,5.1,3.17,1723
34299,Good,H,SI1,57.9,1.0,54.0,6.68,6.62,3.85,4469
34300,Very Good,F,VS2,59.4,1.02,58.0,6.52,6.62,3.9,6479
34301,Very Good,E,SI1,63.0,0.31,59.0,4.26,4.31,2.7,544
34302,Good,G,SI1,63.4,0.41,57.0,4.7,4.73,2.99,671
34303,Ideal,G,SI2,61.9,0.31,55.0,4.37,4.39,2.71,436
34304,Fair,E,SI2,64.5,0.56,61.0,5.18,5.14,3.33,1389
34305,Premium,G,VS2,60.8,1.51,60.0,7.42,7.38,4.5,13157
34306,Ideal,D,SI2,63.4,0.58,57.0,5.29,5.34,3.37,1356
34307,Ideal,G,SI1,62.5,0.5,57.0,5.09,5.05,3.17,1240
34308,Ideal,I,SI1,62.4,0.34,56.0,4.45,4.49,2.79,459
34309,Ideal,H,SI1,62.4,0.5,56.0,5.07,5.09,3.17,1140
34310,Ideal,F,VS1,61.0,0.42,57.0,4.87,4.84,2.96,1103
34311,Premium,J,IF,61.2,0.32,59.0,4.41,4.44,2.71,533
34312,Ideal,J,SI1,63.0,1.2,57.0,6.74,6.64,4.24,4234
34313,Ideal,D,VS2,62.4,0.34,53.0,4.49,4.52,2.81,805
34314,Premium,E,SI1,61.7,0.92,57.0,6.32,6.2,3.86,4637
34315,Ideal,I,VS1,60.7,0.72,57.0,5.78,5.81,3.51,2539
34316,Very Good,D,VVS2,62.5,0.23,58.0,3.89,3.92,2.44,492
34317,Ideal,G,VS1,60.6,0.36,57.0,4.58,4.62,2.79,761
34318,Good,J,VS1,63.4,1.27,60.0,6.8,6.85,4.33,5588
34319,Good,D,SI1,63.6,0.75,58.0,5.77,5.65,3.63,3024
34320,Premium,H,VS1,58.6,1.08,60.0,6.84,6.78,3.99,5818
34321,Premium,I,VS1,61.9,1.83,57.0,7.91,7.85,4.88,13711
34322,Ideal,E,VVS1,61.3,0.31,56.0,4.38,4.4,2.69,865
34323,Ideal,H,IF,62.2,0.43,55.0,4.84,4.87,3.02,1245
34324,Ideal,D,SI2,64.5,1.74,56.0,7.56,7.54,4.87,12361
34325,Ideal,E,VS1,62.0,0.34,57.0,4.49,4.44,2.77,881
34326,Ideal,E,SI1,61.9,1.01,56.0,6.43,6.47,3.99,5571
34327,Ideal,H,VVS2,61.6,0.29,55.0,4.27,4.29,2.64,607
34328,Ideal,G,VS2,60.8,0.56,55.0,5.33,5.37,3.25,1662
34329,Ideal,G,VS2,62.0,0.72,56.0,5.75,5.79,3.58,2383
34330,Very Good,G,VS1,58.8,0.27,57.0,4.25,4.36,2.53,399
34331,Very Good,I,VS1,62.9,1.52,59.9,7.27,7.31,4.59,10032
34332,Good,F,SI2,63.8,0.35,56.0,4.45,4.48,2.85,460
34333,Ideal,I,VVS1,62.1,1.23,57.0,6.83,6.9,4.26,6989
34334,Premium,H,VVS1,61.1,0.34,59.0,4.52,4.48,2.75,995
34335,Ideal,G,VS2,61.8,0.42,56.0,4.84,4.81,2.98,1087
34336,Premium,F,VS2,62.0,1.51,62.0,7.35,7.23,4.52,13771
34337,Very Good,E,SI1,62.2,0.61,60.0,5.44,5.4,3.37,1983
34338,Good,E,VS1,63.5,0.41,54.0,4.71,4.74,3.0,935
34339,Ideal,E,VS1,62.1,0.3,54.2,4.3,4.32,2.68,663
34340,Ideal,H,VS2,62.7,0.73,55.0,5.72,5.76,3.6,2793
34341,Very Good,F,SI1,62.5,0.49,57.0,4.99,5.02,3.13,1116
34342,Very Good,J,VS1,62.4,1.24,59.4,6.81,6.89,4.27,5783
34343,Ideal,E,VVS1,61.7,0.33,56.0,4.48,4.46,2.76,1052
34344,Premium,G,VS1,62.0,1.07,58.0,6.59,6.53,4.07,6730
34345,Premium,F,VVS2,63.0,0.91,56.0,6.17,6.12,3.87,5708
34346,Very Good,E,VVS2,61.6,1.01,58.0,6.4,6.46,3.96,8401
34347,Ideal,F,VS1,60.9,0.42,57.0,4.88,4.84,2.96,1103
34348,Very Good,H,SI2,63.4,2.29,57.0,8.4,8.33,5.3,11502
34349,Good,D,SI1,63.3,0.5,56.0,5.07,5.1,3.22,1436
34350,Ideal,D,VVS2,61.8,0.5,54.1,5.1,5.14,3.16,2639
34351,Very Good,F,VS2,62.9,0.31,58.0,4.27,4.31,2.7,625
34352,Ideal,E,VVS1,62.0,0.42,56.0,4.78,4.84,2.98,1400
34353,Ideal,I,VVS2,62.1,0.7,56.0,5.68,5.72,3.54,2367
34354,Very Good,E,VVS2,61.2,0.23,60.0,3.97,4.0,2.44,505
34355,Ideal,G,VS1,61.3,0.4,55.0,4.75,4.78,2.92,877
34356,Very Good,H,SI2,59.7,0.8,58.0,6.03,6.09,3.62,2263
34357,Ideal,I,VS1,60.5,1.5,56.0,7.38,7.46,4.49,9533
34358,Good,D,SI2,63.5,0.9,62.0,6.09,6.13,3.88,3425
34359,Ideal,I,SI1,61.7,0.38,56.0,4.64,4.67,2.87,610
34360,Premium,F,SI2,61.3,0.9,59.0,6.16,6.11,3.76,3556
34361,Very Good,H,SI1,62.9,0.71,58.0,5.62,5.66,3.55,2246
34362,Good,E,SI1,61.4,0.7,64.0,5.71,5.66,3.49,2822
34363,Very Good,E,VS2,58.7,0.96,58.0,6.47,6.51,3.81,5997
34364,Good,D,VS2,63.9,1.0,56.0,6.34,6.31,4.04,7200
34365,Ideal,D,VS1,61.3,0.44,56.0,4.87,4.92,3.0,1235
34366,Premium,E,SI2,61.1,1.0,58.0,6.44,6.48,3.95,4620
34367,Ideal,H,SI1,61.9,0.61,54.0,5.44,5.48,3.38,1416
34368,Very Good,H,VS2,62.4,1.51,55.6,7.28,7.33,4.56,12108
34369,Premium,F,SI1,62.8,0.9,59.0,6.16,6.13,3.86,3992
34370,Fair,F,SI1,56.9,1.0,63.0,6.45,6.52,3.69,4688
34371,Premium,H,IF,62.9,0.3,58.0,4.29,4.26,2.69,1013
34372,Very Good,G,SI2,60.0,0.91,57.0,6.27,6.32,3.78,3531
34373,Ideal,F,SI2,61.4,1.02,56.0,6.47,6.5,3.98,4578
34374,Premium,H,VS1,60.6,0.32,60.0,4.44,4.4,2.68,720
34375,Premium,F,SI1,62.7,0.42,55.0,4.83,4.8,3.02,992
34376,Premium,F,SI2,61.7,0.91,58.0,6.22,6.29,3.86,3609
34377,Very Good,G,SI2,60.2,1.12,59.0,6.7,6.85,4.08,4852
34378,Premium,D,VS1,62.3,0.81,58.0,6.0,5.94,3.72,4209
34379,Very Good,E,SI2,63.5,0.3,55.0,4.3,4.27,2.72,540
34380,Ideal,I,VS2,61.2,0.31,55.0,4.36,4.4,2.68,421
34381,Premium,H,VS2,63.0,1.51,58.0,7.34,7.27,4.6,10548
34382,Fair,F,VS2,65.5,1.01,62.0,6.19,6.23,4.07,5501
34383,Ideal,H,VVS1,61.3,1.06,57.0,6.55,6.53,4.01,7193
34384,Ideal,H,SI1,61.1,1.09,57.0,6.6,6.69,4.1,5125
34385,Fair,H,SI1,68.6,0.98,58.0,6.18,6.04,4.19,3583
34386,Premium,F,I1,60.7,0.92,58.0,6.29,6.26,3.81,2607
34387,Ideal,E,VS1,60.9,0.53,57.0,5.25,5.19,3.18,1827
34388,Premium,G,SI2,60.1,1.05,60.0,6.66,6.58,3.98,3898
34389,Ideal,F,VS1,60.8,0.36,56.0,4.61,4.64,2.81,803
34390,Very Good,F,VS1,62.0,0.7,57.0,5.64,5.71,3.52,2808
34391,Ideal,I,SI1,62.0,1.23,57.0,6.91,6.87,4.27,5855
34392,Very Good,G,VVS1,61.6,0.29,56.0,4.24,4.27,2.62,607
34393,Very Good,E,VS2,63.3,1.51,61.0,7.24,7.17,4.56,13757
34394,Premium,G,VS1,62.6,0.35,56.0,4.52,4.49,2.82,845
34395,Ideal,E,SI2,62.2,0.4,53.0,4.73,4.76,2.95,689
34396,Ideal,H,IF,60.8,0.31,57.0,4.38,4.4,2.67,761
34397,Ideal,J,VS1,61.5,0.41,55.0,4.77,4.79,2.94,648
34398,Premium,H,SI1,63.0,1.14,57.0,6.7,6.65,4.2,4654
34399,Premium,D,SI2,62.3,0.9,58.0,6.27,6.05,3.84,3740
34400,Ideal,D,VS2,61.5,0.32,56.0,4.41,4.44,2.72,758
34401,Ideal,E,SI1,62.9,0.3,57.0,4.32,4.27,2.7,675
34402,Ideal,G,VS1,60.9,0.52,56.0,5.2,5.24,3.18,1662
34403,Ideal,H,VVS1,60.8,0.71,56.0,5.75,5.83,3.52,2741
34404,Premium,D,SI1,62.5,0.3,58.0,4.27,4.31,2.68,552
34405,Ideal,G,SI2,62.1,0.51,56.0,5.1,5.13,3.18,1148
34406,Ideal,J,VS2,61.9,1.54,57.0,7.39,7.5,4.6,8275
34407,Premium,I,SI2,60.0,1.66,59.0,7.63,7.56,4.56,5310
34408,Ideal,F,VS2,60.8,0.7,57.0,5.75,5.77,3.5,2956
34409,Fair,F,VS2,64.5,0.7,57.0,5.57,5.53,3.58,2762
34410,Ideal,G,VS2,62.5,0.41,56.0,4.75,4.72,2.96,1061
34411,Good,G,VS1,63.3,0.31,57.0,4.28,4.31,2.72,583
